Time	Date	RAName	Participant#	Experiment#	Age	Height	Gender	Hand	Order	Condition	Other	TimeofClick	Correct/Incorrect	ObjectSelected
4:56:36	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1303.964	Incorrect	Oval_Rug
4:57:54	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1382.098	Correct	Picture_Middle
4:57:54	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1382.098	Incorrect	Picture_Middle
4:58:16	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1403.601	Correct	Fruit_Bowl
4:58:16	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1403.601	Incorrect	Fruit_Bowl
4:58:36	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1423.728	Correct	Mug
4:58:36	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1423.728	Incorrect	Mug
4:58:42	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1429.727	Correct	COLLIDER
4:58:42	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1429.727	Incorrect	COLLIDER
5:00:13	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1520.387	Correct	Book_Stack
5:00:13	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1520.387	Incorrect	Book_Stack
5:03:36	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1723.626	Correct	Blender_plant_master
5:03:36	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1723.626	Incorrect	Blender_plant_master
														
														
														
														
														
														
														
04:37:24,10/19/2018,Kathryn,3,1_pilot,18,65,Female,R,9,Turn,Did another VR experiment,44.61222,Incorrect,Dresser
